scope,kind,sort,question_tpl,answer_tpl
dong,concern,1,{{dong}}은 수원지방법원 관할이 맞는지,
dong,concern,2,{{dong}}에서 사무소까지 차 없이 오는 방법이 있는지,
dong,concern,3,전세·월세 보증금이 회생 신청에 불리하게 작용하는지,
dong,concern,4,직장이 다른 지역인데 주소지가 {{dong}}이면 어느 법원인지,
dong,concern,5,상담만 받고 신청 여부는 나중에 정해도 되는지,
dong,concern,6,신청 사실이 직장이나 이웃에 알려지는지,
dong,qa,1,{{dong}}에 사는데 어느 법원에 신청하나요?,주민등록 주소지 기준입니다. {{dong}} 거주자는 수원회생법원(수원지방법원 회생 전담) 관할이며 접수·보정 모두 사무소가 처리합니다.
dong,qa,2,직장이 서울·다른 지역인데 주소지가 {{dong}}이면요?,관할은 직장이 아니라 주소지 기준입니다. 주민등록상 {{dong}}이면 수원회생법원에 신청합니다.
dong,qa,3,{{dong}} 전셋집 보증금이 있으면 신청이 안 되나요?,신청 가능합니다. 보증금 중 법이 보호하는 소액 임차보증금을 넘는 부분만 청산가치에 반영되어 변제금 계산에 영향을 줍니다. 상담에서 정확히 계산해드립니다.
dong,qa,4,{{dong}}에서 꼭 방문해야 상담이 되나요?,아닙니다. 첫 상담은 전화로 가능하고 예상 변제금 계산까지 해드립니다. 방문은 서류 정리 단계에 한 번이면 충분한 경우가 많습니다.
dong,qa,5,상담 후 바로 신청해야 하나요?,아닙니다. 상담에서 예상 월 변제금과 기간을 확인한 뒤 결정하시면 됩니다. 신청을 강요하지 않습니다.
dong,qa,6,법원에는 제가 직접 가야 하나요?,대부분의 절차는 사무소가 서면으로 처리합니다. 본인 출석이 필요한 경우는 드물며 필요 시 미리 안내드립니다.
dong,qa,7,이사 예정인데 {{dong}} 주소로 신청해도 되나요?,신청 시점의 주민등록 주소지 기준입니다. 이사 계획이 있으면 상담 때 알려주세요. 신청 시기를 조정하는 것이 유리할 수 있습니다.
gu,qa,1,{{gu}} 주민은 어느 법원에 신청하나요?,{{gu}} 주민등록 주소지 채무자는 수원회생법원 관할입니다. 접수와 보정 대응은 사무소가 처리합니다.
gu,qa,2,{{gu}}에 사무소 지점이 있나요?,사무소는 수원시 영통구(수원지방법원 인근) 한 곳입니다. 이 페이지는 {{gu}}에서 오시는 분들을 위한 상담 안내이며 별도 지점이 있는 것은 아닙니다.
gu,qa,3,방문 없이 진행할 수 있나요?,첫 상담과 예상 변제금 계산은 전화로 가능합니다. 위임 계약과 서류 정리 단계에서 한 번 방문하시면 이후는 사무소가 진행합니다.
job,concern,1,{{job}}도 개인회생 신청이 가능한지,
job,concern,2,신청 후에도 지금 하는 일을 계속할 수 있는지,
job,concern,3,소득 증빙을 어떻게 준비해야 하는지,
job,concern,4,월 변제금이 얼마나 나올지,
job,concern,5,직장·거래처에 알려지지 않는지,
job,concern,6,상담만 먼저 받아봐도 되는지,
job,qa,1,{{job}}도 개인회생이 되나요?,계속적·반복적 소득이 인정되면 가능합니다. {{job}} 소득 형태에 맞는 증빙 방법을 상담에서 안내드립니다.
job,qa,2,신청하면 일을 계속 못 하게 되나요?,개인회생은 파산과 달리 자격·신분 제한이 없습니다. 지금 하시는 일을 그대로 계속하면서 진행합니다.
job,qa,3,소득이 불규칙한데도 되나요?,됩니다. 최근 1년 평균으로 월 소득을 산정하므로 달마다 수입이 달라도 문제되지 않습니다.
job,qa,4,월 변제금은 어떻게 정해지나요?,월 소득에서 가구 생계비(기준 중위소득 기반)를 뺀 가용소득이 변제금입니다. 상담에서 미리 숫자로 계산해드립니다.
job,qa,5,회사나 거래처에서 알게 되나요?,급여 압류가 없는 한 통지되지 않습니다. 서류는 본인이 발급받아 제출하므로 절차 진행 사실이 외부에 알려지지 않습니다.
job,qa,6,4대보험이 없어도 신청할 수 있나요?,가능합니다. 4대보험 가입 여부가 아니라 실제 소득의 계속성이 기준이며 통장 내역 등으로 증빙할 수 있습니다.
case,qa,1,{{name}}(으)로 생긴 빚도 면책이 되나요?,개인회생은 채무 발생 원인을 이유로 면책을 제한하지 않습니다. 정기 소득으로 변제계획을 이행하면 잔여 채무는 면책됩니다.
case,qa,2,개인회생과 개인파산 중 어느 쪽이 맞나요?,정기 소득이 있으면 회생, 소득이 없거나 생계비에 못 미치면 파산이 기본 방향입니다. 상담에서 두 제도를 같은 기준으로 비교해드립니다.
case,qa,3,독촉 전화는 언제 멈추나요?,신청 후 1–2주 안에 금지명령이 나오면 법적으로 중단됩니다. 그 전이라도 사건 접수 사실을 알리면 추심이 줄어드는 경우가 많습니다.
case,qa,4,비용과 기간은 어떻게 되나요?,변호사 보수는 상담 시 서면으로 안내드리며 분할 납부가 가능합니다. 개인회생 개시결정까지의 평균 소요기간은 3~6개월이며, 이후 인가결정 절차가 이어집니다.
common,qa,1,상담은 어떻게 진행되나요?,방문·전화·비대면 모두 가능하며 익명으로도 문의하실 수 있습니다. 채무 현황을 알려주시면 예상 월 변제금과 진행 방향을 안내드립니다.
common,qa,2,가족에게 알려지거나 피해가 가나요?,본인 명의 채무만 대상입니다. 가족의 재산·신용에는 영향이 없고 배우자 재산과 소득은 생계비 산정에만 반영됩니다.
