gu_slug,slug,name,name_legal,transit_note,feature_note,adjacent_slugs,variant_set,sort
jangan,pajang,파장동,파장동,"자가용 약 25분(수원북부 도로 → 광교 방면). 대중교통은 파장동 정류장에서 광교중앙역 방면 버스 환승, 약 50분. 건물 주차장 이용 가능.","파장동은 수원 북부의 관문으로 파장시장을 중심으로 한 상권과 노후 주택가가 함께 있는 지역입니다. 시장 상인과 소상공인 상담이 많아, 사업소득 증빙과 임대료 채무 정리가 상담의 주요 주제가 됩니다.",jeongja;songjuk;yulcheon,A,1
jangan,jeongja,정자동,정자1·2·3동,"자가용 약 20분(동수원 방면 → 광교). 대중교통은 정자동 정류장에서 광교중앙역 방면 버스 환승, 약 45분. 건물 주차장 이용 가능.","정자동은 수원 북부의 대단지 아파트 밀집 지역으로 맞벌이 직장인 가구가 많습니다. 배우자 소득이 생계비 산정에 반영되므로 부부 합산 기준으로 월 변제금을 미리 계산해보는 것이 중요하고, 전세 보증금 규모가 청산가치에 미치는 영향도 상담에서 자주 다룹니다.",pajang;jowon;yeonghwa,B,2
jangan,yeonghwa,영화동,영화동,"자가용 약 20분(장안문 → 동수원 방면). 대중교통은 장안문 정류장에서 광교 방면 버스 이용, 약 40분. 건물 주차장 이용 가능.","영화동은 장안문 일대 구도심으로 상가와 원룸·다세대 주택이 섞여 있습니다. 소규모 자영업자와 1인 가구 상담이 많아 카드·현금서비스 위주의 채무 정리가 주요 주제입니다.",jeongja;songjuk;yeonmu,C,3
jangan,songjuk,송죽동,송죽동,"자가용 약 22분(만석공원 → 동수원 방면). 대중교통은 만석공원 정류장에서 광교 방면 버스 이용, 약 45분. 건물 주차장 이용 가능.","송죽동은 만석공원 주변의 오래된 주거 지역으로 중장년층 거주 비중이 높습니다. 은퇴 전후 소득 감소로 기존 대출 상환이 버거워진 경우가 많아, 국민연금 등 정기 수입을 소득으로 인정받는 방법을 상담에서 함께 확인합니다.",pajang;jeongja;jowon,A,4
jangan,jowon,조원동,조원1·2동,"자가용 약 20분(조원동 → 동수원 방면). 대중교통은 조원동 정류장에서 광교중앙역 방면 버스 환승, 약 45분. 건물 주차장 이용 가능.","조원동은 아파트 단지와 근린 상가가 함께 있는 주거 지역입니다. 직장인 가계 채무와 상가 임차 자영업자의 사업 채무 상담이 고루 있으며, 주택담보대출이 있는 경우 담보채무 처리 방향이 핵심 쟁점이 됩니다.",jeongja;yeonmu;songjuk,B,5
jangan,yeonmu,연무동,연무동,"자가용 약 18분(창룡문 → 동수원 방면). 대중교통은 연무동 정류장에서 광교 방면 버스 이용, 약 35분. 건물 주차장 이용 가능.","연무동은 광교산 자락의 조용한 주거 지역으로 단독·다세대 주택이 많습니다. 고령 가구의 생활비 채무, 자녀 보증 관련 상담이 상대적으로 많은 지역입니다.",jowon;yeonghwa;jeongja,C,6
jangan,yulcheon,율천동,율천동,"자가용 약 25분(성균관대역 → 서수원 → 광교 방면). 대중교통은 성균관대역에서 광교 방면 버스 환승, 약 55분. 건물 주차장 이용 가능.","율천동은 성균관대역 주변 대학가로 원룸촌과 청년 1인 가구가 많은 지역입니다. 사회초년생의 학자금·카드 채무, 첫 직장 소득으로 신청하는 20~30대 개인회생 상담이 많습니다.",pajang;songjuk;jeongja,A,7
gwonseon,seryu,세류동,세류1·2·3동,"자가용 약 20분(경수대로 → 동수원 방면). 대중교통은 세류역에서 수원역 환승 후 광교 방면 버스, 약 50분. 건물 주차장 이용 가능.","세류동은 다세대·빌라 주거지가 넓게 형성된 지역으로 일용직·서비스업 등 소득이 불규칙한 분들의 상담이 많습니다. 소득 증빙이 약해도 통장 거래내역 등으로 보완하는 방법이 있으니 미리 포기하지 않으셔도 됩니다.",pyeong;gwonseon;godeung,B,1
gwonseon,pyeong,평동,평동,"자가용 약 25분(서수원 → 경수대로 → 광교 방면). 대중교통은 수원역 환승 후 광교 방면 버스, 약 55분. 건물 주차장 이용 가능.","평동은 서수원의 공업·물류 시설과 인접한 주거 지역입니다. 화물·운수업 종사자와 공장 근로자 상담이 많아, 지입차 할부금이나 사업자 대출이 채무에 섞인 경우의 정리 방법을 자주 다룹니다.",seryu;seodun;guun,C,2
gwonseon,seodun,서둔동,서둔동,"자가용 약 22분(서둔동 → 수원역 → 광교 방면). 대중교통은 수원역에서 광교 방면 버스 환승, 약 50분. 건물 주차장 이용 가능.","서둔동은 옛 농대 캠퍼스 주변으로 원룸과 오래된 주택가가 섞여 있습니다. 청년 1인 가구와 소규모 자영업 상담이 많은 지역입니다.",pyeong;guun;seryu,A,3
gwonseon,guun,구운동,구운동,"자가용 약 25분(서수원 → 광교 방면). 대중교통은 구운동 정류장에서 수원역 환승 후 광교 방면 버스, 약 55분. 건물 주차장 이용 가능.","구운동은 서수원의 아파트 중심 주거 지역입니다. 직장인 가계 채무 상담이 많고, 전세자금대출과 신용대출이 겹친 경우 변제 계획을 어떻게 짜는지가 주요 주제입니다.",seodun;geumgok;pyeong,B,4
gwonseon,geumgok,금곡동,금곡동,"자가용 약 28분(호매실 → 서수원 → 광교 방면). 대중교통은 호매실 정류장에서 광교 방면 직행 버스, 약 55분. 건물 주차장 이용 가능.","금곡동은 호매실지구와 이어지는 아파트 주거 지역으로 30~40대 가구 비중이 높습니다. 내 집 마련 과정의 담보대출·신용대출이 겹쳐 상환 부담이 커진 사례가 많습니다.",homaesil;guun;ipbuk,C,5
gwonseon,homaesil,호매실동,호매실동,"자가용 약 30분(호매실 → 서수원 → 광교 방면). 대중교통은 호매실 정류장에서 광교 방면 직행 버스, 약 60분. 건물 주차장 이용 가능.","호매실동은 신도시급 아파트 단지가 밀집한 지역으로 젊은 맞벌이 가구가 많습니다. 주택 관련 대출과 육아기 소득 공백이 겹친 상담이 많아, 배우자 소득 반영과 생계비 산정이 핵심 쟁점입니다.",geumgok;ipbuk;guun,A,6
gwonseon,gwonseon,권선동,권선1·2동,"자가용 약 18분(권선동 → 동수원 방면). 대중교통은 권선동 정류장에서 광교 방면 버스, 약 40분. 건물 주차장 이용 가능.","권선동은 권선구의 중심 주거·상권 지역으로 아파트 단지와 먹자골목 상권이 함께 있습니다. 직장인 가계 채무와 음식점 자영업자의 사업 채무 상담이 고루 많습니다.",gokseon;seryu;guun,B,7
gwonseon,gokseon,곡선동,곡선동,"자가용 약 18분(권선지구 → 동수원 방면). 대중교통은 곡선동 정류장에서 광교 방면 버스, 약 40분. 건물 주차장 이용 가능.","곡선동은 권선지구의 아파트 중심 주거 지역입니다. 급여소득 기반 가계 채무 상담이 많고, 자동차 할부금이 남은 경우의 처리 방법을 자주 다룹니다.",gwonseon;seryu;geumgok,C,8
gwonseon,ipbuk,입북동,입북동,"자가용 약 30분(서수원 외곽 → 광교 방면). 대중교통은 입북동 정류장에서 수원역 환승 후 광교 방면 버스, 약 65분. 건물 주차장 이용 가능.","입북동은 서수원 외곽의 조용한 주거 지역입니다. 거리가 있는 만큼 첫 상담은 전화로 진행하고 서류 정리 단계에 방문하시는 분이 많습니다.",homaesil;geumgok;seodun,A,9
