slug,name,category,income_proof_note,job_keep_note,repay_note,variant_set,sort,slug_ko
office-worker,직장인,급여소득,급여명세서(최근 1년)와 재직증명서로 증빙합니다. 본인이 발급받으므로 회사에 알려지지 않습니다.,직장 생활에 영향이 없습니다. 급여 압류가 이미 들어와 있다면 회생 절차에서 압류를 해제할 수 있습니다.,세후 월급에서 가구 생계비를 뺀 가용소득이 월 변제금입니다. 상여금·성과급은 연 단위로 평균해 반영합니다.,A,1,직장인
self-employed,자영업자·소상공인,사업소득,소득금액증명원과 부가세 과세표준증명(홈택스 발급)으로 증빙합니다. 매출 변동이 크면 최근 1년 평균으로 소명합니다.,폐업하지 않고 영업을 계속하면서 신청할 수 있습니다. 사업 유지가 변제의 전제이므로 법원도 영업 계속을 전제로 봅니다.,사업소득에서 매입·임대료 등 필요경비와 생계비를 뺀 금액이 기준입니다. 경비 산정 방식이 변제금을 좌우하므로 상담에서 꼼꼼히 잡습니다.,B,2,자영업자
freelancer,프리랜서(3.3%),사업소득,"소득금액증명원, 원천징수영수증, 입금 통장 거래내역으로 증빙합니다. 여러 거래처 수입은 합산해 월평균을 냅니다.",일을 계속하는 데 아무 제한이 없습니다. 거래처에 통지되지 않습니다.,월 수입이 불규칙하면 최근 1년 평균으로 산정합니다. 수입 증빙이 흩어져 있어도 통장 내역으로 정리할 수 있습니다.,C,3,프리랜서
public-servant,공무원·교사,급여소득,급여명세서와 재직증명서로 증빙합니다. 본인 발급이라 소속 기관에 알려지지 않습니다.,"개인회생은 공무원 결격사유가 아닙니다. 파산과 달리 신분·자격에 제한이 없고, 급여 압류만 없으면 기관에 통지되지 않습니다.",호봉·수당이 안정적이라 변제계획 인가가 비교적 수월한 편입니다. 공제회 대출이 있으면 채권자 목록에 반드시 포함해야 합니다.,A,4,공무원
soldier,군인,급여소득,급여명세서와 복무확인서로 증빙합니다. 본인 발급으로 진행되어 부대에 알려지지 않습니다.,개인회생은 군인사법상 결격사유가 아니어서 복무에 영향이 없습니다. 급여 압류가 있다면 절차에서 해제할 수 있습니다.,"군 급여와 수당 기준으로 산정하며, 관사 거주 등 주거비 절감분은 생계비 산정에 반영됩니다.",B,5,군인
nurse,간호사·의료종사자,급여소득,급여명세서와 재직증명서로 증빙합니다. 교대·야간 수당은 연평균으로 반영합니다.,"면허와 무관한 절차라 간호사·의료기사 면허에 영향이 없고, 병원에 통지되지 않습니다.",수당 비중이 큰 급여 구조는 최근 1년 평균으로 산정해 변제금이 과도하게 잡히지 않도록 합니다.,C,6,간호사
driver,택시·버스·화물 기사,특수형태,"운수회사 소속은 급여명세서, 개인·지입 기사는 소득금액증명원과 운송료 입금 내역으로 증빙합니다.",운전 업무를 계속하면서 신청할 수 있습니다. 영업용 차량이 생계 수단이면 유지하는 방향으로 변제계획을 짭니다.,지입료·유류비 등 필요경비를 뺀 실소득 기준입니다. 차량 할부금이 남아 있으면 담보채무 처리 방향을 먼저 정합니다.,A,7,운수기사
delivery-rider,배달라이더·플랫폼 노동,특수형태,"플랫폼 정산 내역과 통장 입금 내역, 소득금액증명원으로 증빙합니다. 여러 플랫폼 수입은 합산합니다.",일을 계속하는 데 제한이 없습니다. 플랫폼 계정이나 등급에도 영향이 없습니다.,월 수입 변동이 크므로 최근 1년 평균으로 산정합니다. 오토바이 할부·리스가 있으면 유지 여부를 함께 정합니다.,B,8,배달라이더
construction-worker,건설일용직,특수형태,일용근로소득 지급명세서(홈택스 조회)와 통장 입금 내역으로 증빙합니다. 현장이 바뀌어도 합산해 월평균을 냅니다.,일용직도 계속적·반복적 소득으로 인정됩니다. 일하는 데 아무 제한이 없습니다.,동절기 등 비수기를 반영한 연평균 소득으로 산정해 무리한 변제금이 잡히지 않도록 합니다.,C,9,건설일용직
housewife,주부,무소득·기타,"본인 명의 소득이 없으면 개인회생이 어렵지만, 파트타임·부업 소득이 있으면 가능합니다. 소득이 전혀 없으면 개인파산을 검토합니다.",가사와 병행하는 파트타임 소득으로도 요건이 되면 신청할 수 있습니다. 배우자에게 채무가 넘어가지 않습니다.,본인 소득 기준으로 산정하되 배우자 소득은 가구 생계비 계산에 반영됩니다. 상담에서 회생과 파산 중 유리한 쪽을 비교해드립니다.,A,10,주부
